lon	lat	depth
-124.453262	42.133121	-20.532170
-124.447219	42.133131	-20.675380
-124.441176	42.133142	-20.818631
-124.435133	42.133151	-20.939403
-124.429090	42.133161	-21.064498
-124.423047	42.133170	-21.189624
-124.417004	42.133179	-21.314721
-124.410961	42.133188	-21.424532
-124.404918	42.133196	-21.534362
-124.398876	42.133204	-21.644215
-124.392833	42.133212	-21.753633
-124.386790	42.133219	-21.856998
-124.380747	42.133226	-21.960398
-124.374704	42.133233	-22.063518
-124.368661	42.133239	-22.166405
-124.362618	42.133246	-22.272240
-124.652704	42.137089	-17.766773
-124.646661	42.137110	-17.831627
-124.640618	42.137130	-17.896493
-124.634574	42.137151	-17.959395
-124.628531	42.137171	-18.011033
-124.622488	42.137191	-18.062676
-124.616445	42.137210	-18.114324
-124.610402	42.137229	-18.148611
-124.604359	42.137248	-18.189007
-124.598315	42.137267	-18.229407
-124.592272	42.137285	-18.261400
-124.586229	42.137303	-18.286336
-124.580186	42.137320	-18.326828
-124.574143	42.137337	-18.365997
-124.568099	42.137354	-18.401465
-124.562056	42.137371	-18.436933
-124.556013	42.137387	-18.491394
-124.549970	42.137403	-18.558065
-124.543926	42.137419	-18.624923
-124.537883	42.137434	-18.691785
-124.531840	42.137449	-18.786707
-124.525797	42.137464	-18.890870
-124.519753	42.137478	-18.995043
-124.513710	42.137492	-19.117809
-124.507667	42.137506	-19.256060
-124.501623	42.137519	-19.394328
-124.495580	42.137533	-19.539104
-124.489537	42.137545	-19.718449
-124.483493	42.137558	-19.854761
-124.477450	42.137570	-19.991089
-124.471407	42.137582	-20.153676
-124.465363	42.137593	-20.319655
-124.459320	42.137604	-20.445251
-124.453277	42.137615	-20.580708
-124.447233	42.137626	-20.722336
-124.441190	42.137636	-20.864005
-124.435147	42.137646	-20.982073
-124.429103	42.137656	-21.104419
-124.423060	42.137665	-21.226796
-124.417017	42.137674	-21.349135
-124.410973	42.137682	-21.455632
-124.404930	42.137691	-21.562147
-124.398887	42.137699	-21.668687
-124.392843	42.137706	-21.774694
-124.386800	42.137714	-21.874910
-124.380756	42.137721	-21.975161
-124.374713	42.137728	-22.075068
-124.368670	42.137734	-22.174690
-124.362626	42.137740	-22.277909
-124.652734	42.141583	-17.786092
-124.646690	42.141604	-17.851400
-124.640646	42.141625	-17.916719
-124.634603	42.141645	-17.980071
-124.628559	42.141665	-18.031329
-124.622516	42.141685	-18.082593
